129.482000, -nan, -nan, -nan
129.585000, 0.011657, -0.016467, -0.011947
129.684000, 0.011657, -0.016467, -0.011944
129.767000, 0.011657, -0.016467, -0.011944
129.878000, 0.011657, -0.016467, -0.011941
129.988000, 0.011657, -0.016467, -0.011938
130.087000, 0.011657, -0.016467, -0.011936
130.183000, 0.011657, -0.016467, -0.011934
130.285000, 0.011657, -0.016467, -0.011930
130.382000, 0.011657, -0.016467, -0.011928
130.486000, 0.011657, -0.016467, -0.011927
130.578000, 0.011657, -0.016467, -0.011926
130.676000, 0.011657, -0.016467, -0.011921
130.784000, 0.011657, -0.016467, -0.011918
130.885000, 0.011657, -0.016467, -0.011917
130.987000, 0.011657, -0.016467, -0.011915
131.081000, 0.011657, -0.016467, -0.011911
131.178000, 0.011657, -0.016467, -0.011908
131.265000, 0.011657, -0.016467, -0.011907
131.377000, 0.011657, -0.016467, -0.011904
131.474000, 0.011657, -0.016467, -0.011902
131.584000, 0.011657, -0.016467, -0.011900
131.682000, 0.011657, -0.016467, -0.011899
131.787000, 0.011657, -0.016467, -0.011895
131.886000, 0.011657, -0.016467, -0.011893
131.977000, 0.011657, -0.016467, -0.011892
132.071000, 0.011657, -0.016467, -0.011890
132.188000, 0.011657, -0.016467, -0.011886
132.286000, 0.011657, -0.016467, -0.011884
132.370000, 0.011657, -0.016467, -0.011883
132.472000, 0.011657, -0.016467, -0.011880
132.583000, 0.011657, -0.016467, -0.011876
132.688000, 0.011657, -0.016467, -0.011874
132.781000, 0.011657, -0.016467, -0.011873
132.878000, 0.011657, -0.016467, -0.011870
132.982000, 0.011657, -0.016467, -0.011867
133.085000, 0.011657, -0.016467, -0.011865
133.186000, 0.011657, -0.016467, -0.011863
133.281000, 0.011657, -0.016467, -0.011859
133.374000, 0.011657, -0.016467, -0.011857
133.481000, 0.011657, -0.016467, -0.011855
133.586000, 0.011657, -0.016467, -0.011852
133.684000, 0.011657, -0.016467, -0.011849
133.758000, 0.011657, -0.016467, -0.011849
133.869000, 0.011657, -0.016467, -0.011846
133.985000, 0.011657, -0.016467, -0.011843
134.064000, 0.011657, -0.016467, -0.011841
134.180000, 0.011657, -0.016467, -0.011838
134.285000, 0.011657, -0.016467, -0.011835
134.379000, 0.011657, -0.016467, -0.011832
134.483000, 0.011657, -0.016467, -0.011829
134.582000, 0.011657, -0.016467, -0.011828
134.687000, 0.011657, -0.016467, -0.011824
134.778000, 0.011657, -0.016467, -0.011820
134.883000, 0.011657, -0.016467, -0.011818
134.976000, 0.011657, -0.016467, -0.011817
135.084000, 0.011657, -0.016467, -0.011812
135.181000, 0.011657, -0.016467, -0.011810
135.282000, 0.011657, -0.016467, -0.011809
135.379000, 0.011657, -0.016467, -0.011807
135.480000, 0.011657, -0.016467, -0.011802
135.585000, 0.011657, -0.016467, -0.011801
135.673000, 0.011657, -0.016467, -0.011800
135.788000, 0.011657, -0.016467, -0.011798
135.882000, 0.011657, -0.016467, -0.011796
135.980000, 0.011657, -0.016467, -0.011793
136.084000, 0.011657, -0.016467, -0.011791
136.181000, 0.011657, -0.016467, -0.011788
136.285000, 0.011657, -0.016467, -0.011786
136.374000, 0.011657, -0.016467, -0.011785
136.486000, 0.011657, -0.016467, -0.011782
136.573000, 0.011657, -0.016467, -0.011779
136.679000, 0.011657, -0.016467, -0.011776
136.782000, 0.011657, -0.016467, -0.011775
136.882000, 0.011657, -0.016467, -0.011771
136.967000, 0.011657, -0.016467, -0.011768
137.084000, 0.011657, -0.016467, -0.011767
137.174000, 0.011657, -0.016467, -0.011766
137.277000, 0.011657, -0.016467, -0.011763
137.382000, 0.011657, -0.016467, -0.011759
137.488000, 0.011657, -0.016467, -0.011757
137.573000, 0.011657, -0.016467, -0.011755
137.684000, 0.011657, -0.016467, -0.011751
137.783000, 0.011657, -0.016467, -0.011748
137.864000, 0.011657, -0.016467, -0.011746
137.986000, 0.011657, -0.016467, -0.011743
138.080000, 0.011657, -0.016467, -0.011741
138.183000, 0.011657, -0.016467, -0.011738
138.276000, 0.011657, -0.016467, -0.011735
138.386000, 0.011657, -0.016467, -0.011732
138.458000, 0.011657, -0.016467, -0.011731
138.579000, 0.011657, -0.016467, -0.011728
138.662000, 0.011657, -0.016467, -0.011725
138.787000, 0.011657, -0.016467, -0.011722
138.872000, 0.011657, -0.016467, -0.011721
138.981000, 0.011657, -0.016467, -0.011718
139.076000, 0.011657, -0.016467, -0.011716
139.133000, 0.011657, -0.016467, -0.011714
139.266000, 0.011657, -0.016467, -0.011710
139.383000, 0.011657, -0.016467, -0.011708
139.476000, 0.011657, -0.016467, -0.011707
139.581000, 0.011657, -0.016467, -0.011704
139.678000, 0.011657, -0.016467, -0.011702
139.773000, 0.011657, -0.016467, -0.011702
139.875000, 0.011657, -0.016467, -0.011699
139.972000, 0.011657, -0.016467, -0.011696
140.075000, 0.011657, -0.016467, -0.011694
140.180000, 0.011657, -0.016467, -0.011692
140.281000, 0.011657, -0.016467, -0.011688
140.378000, 0.011657, -0.016467, -0.011686
140.482000, 0.011657, -0.016467, -0.011684
140.578000, 0.011657, -0.016467, -0.011682
140.680000, 0.011657, -0.016467, -0.011677
140.783000, 0.011657, -0.016467, -0.011675
140.861000, 0.011657, -0.016467, -0.011674
140.988000, 0.011657, -0.016467, -0.011670
141.077000, 0.014019, -0.016496, -0.012925
141.189000, 0.025793, -0.016693, -0.019604
141.282000, 0.042514, -0.017061, -0.023908
141.382000, 0.062507, -0.017571, -0.026750
141.487000, 0.083499, -0.018160, -0.029843
141.586000, 0.103289, -0.018787, -0.033532
141.640000, 0.114082, -0.019163, -0.037553
141.788000, 0.143635, -0.020791, -0.078162
141.878000, 0.161553, -0.022499, -0.111111
141.986000, 0.182972, -0.025282, -0.147240
142.068000, 0.200153, -0.029641, -0.180681
142.187000, 0.220744, -0.033763, -0.215984
142.282000, 0.239818, -0.038269, -0.246303
142.387000, 0.259537, -0.043495, -0.270758
142.482000, 0.277796, -0.048749, -0.288643
142.581000, 0.297303, -0.054716, -0.304765
142.681000, 0.315958, -0.060728, -0.318495
142.784000, 0.335484, -0.067293, -0.329066
142.882000, 0.353817, -0.073637, -0.337671
142.980000, 0.372279, -0.080220, -0.348175
143.076000, 0.391964, -0.087533, -0.362887
143.171000, 0.420930, -0.084553, -0.375975
143.286000, 0.439310, -0.091915, -0.384864
143.382000, 0.457075, -0.099197, -0.395168
143.483000, 0.475669, -0.107091, -0.406712
143.587000, 0.494730, -0.115416, -0.417282
143.686000, 0.512795, -0.123520, -0.425011
143.780000, 0.529900, -0.131322, -0.431233
143.887000, 0.549308, -0.140339, -0.438305
143.984000, 0.567214, -0.148788, -0.443095
144.076000, 0.583471, -0.156516, -0.442509
144.188000, 0.603729, -0.166076, -0.440694
144.284000, 0.621092, -0.174270, -0.440967
144.388000, 0.652636, -0.182700, -0.439683
144.478000, 0.668569, -0.190176, -0.437311
144.582000, 0.688518, -0.199453, -0.432826
144.683000, 0.706155, -0.207532, -0.424959
144.756000, 0.721857, -0.214553, -0.415563
144.881000, 0.742042, -0.223302, -0.399454
144.984000, 0.761188, -0.230900, -0.356324
145.087000, 0.780640, -0.237675, -0.311438
145.182000, 0.799041, -0.243151, -0.267752
145.272000, 0.820473, -0.244059, -0.232531
145.385000, 0.842358, -0.248827, -0.194837
145.484000, 0.861845, -0.252332, -0.162825
145.584000, 0.881620, -0.255317, -0.137800
145.681000, 0.900863, -0.257777, -0.116745
145.786000, 0.921745, -0.260001, -0.095660
145.879000, 0.940274, -0.261625, -0.080303
145.983000, 0.961218, -0.263145, -0.063073
146.086000, 0.981588, -0.264258, -0.048107
146.174000, 0.999571, -0.265038, -0.038406
146.277000, 1.021912, -0.265822, -0.023780
146.384000, 1.043309, -0.266175, -0.009586
146.475000, 1.061909, -0.266248, 0.001854
146.586000, 1.083708, -0.266078, 0.014323
146.686000, 1.103704, -0.265674, 0.025748
146.788000, 1.124094, -0.265045, 0.035600
146.879000, 1.142280, -0.264328, 0.042935
146.977000, 1.161859, -0.263411, 0.052013
147.076000, 1.181625, -0.262268, 0.063247
147.188000, 1.203972, -0.260727, 0.074018
147.286000, 1.257790, -0.258232, 0.086476
147.370000, 1.274919, -0.256671, 0.094924
147.476000, 1.296213, -0.254547, 0.103563
147.584000, 1.317092, -0.252295, 0.111838
147.668000, 1.334573, -0.250254, 0.121910
147.776000, 1.355198, -0.247566, 0.138743
147.883000, 1.376361, -0.244391, 0.159741
147.975000, 1.395089, -0.241187, 0.179816
148.074000, 1.413941, -0.237553, 0.201599
148.182000, 1.435047, -0.232961, 0.227540
148.271000, 1.452724, -0.228631, 0.250062
148.376000, 1.472637, -0.223358, 0.268096
148.478000, 1.489168, -0.213644, 0.289644
148.585000, 1.509571, -0.207192, 0.324614
148.683000, 1.528035, -0.200620, 0.359996
148.771000, 1.544403, -0.194154, 0.393256
148.886000, 1.560424, -0.187177, 0.428597
148.975000, 1.568316, -0.183515, 0.438715
149.079000, 1.580420, -0.177767, 0.447611
149.187000, 1.597228, -0.169514, 0.470248
149.275000, 1.559758, -0.158423, 0.495245
149.373000, 1.574255, -0.150285, 0.528906
149.471000, 1.589068, -0.141302, 0.556177
149.586000, 1.607336, -0.129777, 0.564847
149.676000, 1.622705, -0.120028, 0.566893
149.782000, 1.640589, -0.108644, 0.561969
149.887000, 1.658307, -0.097749, 0.540079
149.983000, 1.675035, -0.087924, 0.523862
150.087000, 1.692963, -0.077779, 0.502017
150.184000, 1.710253, -0.068549, 0.481135
150.287000, 1.728406, -0.059241, 0.467661
150.375000, 1.744870, -0.051026, 0.458222
150.483000, 1.761854, -0.043177, 0.450513
150.573000, 1.774252, -0.037232, 0.441161
150.688000, 1.788216, -0.030798, 0.425562
150.782000, 1.804233, -0.023641, 0.410932
150.875000, 1.821368, -0.016407, 0.388218
150.979000, 1.840902, -0.008699, 0.362858
151.066000, 1.857422, -0.002628, 0.341600
151.188000, 1.880141, 0.005104, 0.314809
151.294000, 1.900368, 0.011451, 0.293482
151.375000, 1.915912, 0.016016, 0.277738
151.477000, 1.909953, 0.024290, 0.257589
151.579000, 1.928173, 0.028922, 0.240470
151.675000, 1.947051, 0.033389, 0.224540
151.787000, 1.968538, 0.038111, 0.208416
151.883000, 1.987546, 0.041994, 0.194111
151.981000, 2.006608, 0.045599, 0.179953
152.081000, 2.026508, 0.049065, 0.163488
152.183000, 2.046665, 0.052200, 0.145421
152.275000, 2.064890, 0.054730, 0.130738
152.387000, 2.086923, 0.057447, 0.115000
152.485000, 2.107204, 0.059647, 0.100544
152.585000, 2.126316, 0.061480, 0.094204
152.682000, 2.155913, 0.064869, 0.082022
152.773000, 2.173872, 0.066069, 0.047694
152.886000, 2.196464, 0.066548, -0.006280
152.975000, 2.214456, 0.066061, -0.047137
153.081000, 2.235404, 0.064600, -0.092557
153.170000, 2.220475, 0.060451, -0.128045
153.277000, 2.243604, 0.056917, -0.173073
153.381000, 2.262265, 0.053344, -0.205950
153.485000, 2.282355, 0.048792, -0.237842
153.574000, 2.299602, 0.044395, -0.261725
153.678000, 2.319610, 0.038711, -0.294315
153.772000, 2.339405, 0.032327, -0.327756
153.873000, 2.343310, 0.029614, -0.344478
153.981000, 2.363550, 0.022072, -0.368668
154.081000, 2.382129, 0.014670, -0.389342
154.186000, 2.401474, 0.006499, -0.410213
154.282000, 2.419189, -0.001407, -0.429164
154.379000, 2.436819, -0.009504, -0.431288
154.484000, 2.455701, -0.018228, -0.435650
154.572000, 2.471635, -0.025703, -0.442112
154.678000, 2.491120, -0.035024, -0.449954
154.777000, 2.509274, -0.043881, -0.459184
154.887000, 2.528230, -0.053374, -0.468114
