129.482000, -nan, -nan, -nan
129.585000, 0.008694, -2.018036, -0.001908
129.680000, 0.008694, -2.018036, -0.001905
129.767000, 0.008694, -2.018036, -0.001902
129.878000, 0.008694, -2.018036, -0.001899
129.988000, 0.008694, -2.018036, -0.001898
130.088000, 0.008694, -2.018036, -0.001894
130.181000, 0.008694, -2.018036, -0.001892
130.288000, 0.008694, -2.018036, -0.001890
130.373000, 0.008694, -2.018036, -0.001888
130.487000, 0.008694, -2.018036, -0.001886
130.583000, 0.008694, -2.018036, -0.001883
130.676000, 0.008694, -2.018036, -0.001882
130.786000, 0.008694, -2.018036, -0.001880
130.885000, 0.008694, -2.018036, -0.001877
130.987000, 0.008694, -2.018036, -0.001875
131.086000, 0.008694, -2.018036, -0.001873
131.187000, 0.008694, -2.018036, -0.001871
131.274000, 0.008694, -2.018036, -0.001868
131.377000, 0.008694, -2.018036, -0.001865
131.474000, 0.008694, -2.018036, -0.001864
131.584000, 0.008694, -2.018036, -0.001861
131.686000, 0.008694, -2.018036, -0.001858
131.779000, 0.008694, -2.018036, -0.001858
131.879000, 0.008694, -2.018036, -0.001855
131.981000, 0.008694, -2.018036, -0.001853
132.071000, 0.008694, -2.018036, -0.001850
132.188000, 0.008694, -2.018036, -0.001848
132.285000, 0.008694, -2.018036, -0.001845
132.370000, 0.008694, -2.018036, -0.001841
132.472000, 0.008694, -2.018036, -0.001839
132.582000, 0.008694, -2.018036, -0.001837
132.687000, 0.008694, -2.018036, -0.001835
132.784000, 0.008694, -2.018036, -0.001833
132.884000, 0.008694, -2.018036, -0.001830
132.982000, 0.008694, -2.018036, -0.001826
133.086000, 0.008694, -2.018036, -0.001824
133.188000, 0.008694, -2.018036, -0.001823
133.276000, 0.008694, -2.018036, -0.001820
133.388000, 0.008694, -2.018036, -0.001818
133.475000, 0.008694, -2.018036, -0.001815
133.578000, 0.008694, -2.018036, -0.001814
133.685000, 0.008694, -2.018036, -0.001812
133.758000, 0.008694, -2.018036, -0.001810
133.887000, 0.008694, -2.018036, -0.001809
133.985000, 0.008694, -2.018036, -0.001807
134.064000, 0.008694, -2.018036, -0.001805
134.181000, 0.008694, -2.018036, -0.001802
134.286000, 0.008694, -2.018036, -0.001799
134.384000, 0.008694, -2.018036, -0.001797
134.480000, 0.008694, -2.018036, -0.001795
134.582000, 0.008694, -2.018036, -0.001794
134.687000, 0.008694, -2.018036, -0.001791
134.778000, 0.008694, -2.018036, -0.001787
134.885000, 0.008694, -2.018036, -0.001785
134.976000, 0.008694, -2.018036, -0.001784
135.080000, 0.008694, -2.018036, -0.001781
135.181000, 0.008694, -2.018036, -0.001776
135.287000, 0.008694, -2.018036, -0.001776
135.379000, 0.008694, -2.018036, -0.001775
135.480000, 0.008694, -2.018036, -0.001771
135.585000, 0.008694, -2.018036, -0.001768
135.680000, 0.008694, -2.018036, -0.001767
135.779000, 0.008694, -2.018036, -0.001765
135.882000, 0.008694, -2.018036, -0.001764
135.980000, 0.008694, -2.018036, -0.001759
136.084000, 0.008694, -2.018036, -0.001757
136.185000, 0.008694, -2.018036, -0.001755
136.279000, 0.008694, -2.018036, -0.001753
136.385000, 0.008694, -2.018036, -0.001751
136.487000, 0.008694, -2.018036, -0.001748
136.568000, 0.008694, -2.018036, -0.001745
136.684000, 0.008694, -2.018036, -0.001742
136.782000, 0.008694, -2.018036, -0.001741
136.882000, 0.008694, -2.018036, -0.001738
136.954000, 0.008694, -2.018036, -0.001736
137.073000, 0.008694, -2.018036, -0.001732
137.186000, 0.008694, -2.018036, -0.001731
137.285000, 0.008694, -2.018036, -0.001728
137.387000, 0.008694, -2.018036, -0.001724
137.485000, 0.008694, -2.018036, -0.001723
137.580000, 0.008694, -2.018036, -0.001722
137.683000, 0.008694, -2.018036, -0.001719
137.780000, 0.008694, -2.018036, -0.001717
137.864000, 0.008694, -2.018036, -0.001714
137.984000, 0.008694, -2.018036, -0.001712
138.083000, 0.008694, -2.018036, -0.001710
138.182000, 0.008694, -2.018036, -0.001708
138.276000, 0.008694, -2.018036, -0.001705
138.383000, 0.008694, -2.018036, -0.001702
138.458000, 0.008694, -2.018036, -0.001700
138.588000, 0.008694, -2.018036, -0.001696
138.685000, 0.008694, -2.018036, -0.001694
138.787000, 0.008694, -2.018036, -0.001691
138.865000, 0.008694, -2.018036, -0.001689
138.981000, 0.008694, -2.018036, -0.001687
139.077000, 0.008694, -2.018036, -0.001683
139.133000, 0.008694, -2.018036, -0.001681
139.270000, 0.008694, -2.018036, -0.001678
139.388000, 0.008694, -2.018036, -0.001677
139.487000, 0.008694, -2.018036, -0.001677
139.583000, 0.008694, -2.018036, -0.001674
139.685000, 0.008694, -2.018036, -0.001672
139.777000, 0.008694, -2.018036, -0.001671
139.870000, 0.008694, -2.018036, -0.001667
139.980000, 0.008694, -2.018036, -0.001665
140.075000, 0.008694, -2.018036, -0.001663
140.171000, 0.008694, -2.018036, -0.001661
140.281000, 0.008694, -2.018036, -0.001658
140.379000, 0.008694, -2.018036, -0.001654
140.482000, 0.008694, -2.018036, -0.001653
140.578000, 0.008694, -2.018036, -0.001651
140.680000, 0.008694, -2.018036, -0.001648
140.784000, 0.008694, -2.018036, -0.001645
140.861000, 0.008694, -2.018036, -0.001644
