129.482000, -nan, -nan, -nan
129.582000, 2.012522, -2.003891, 1.575440
129.680000, 2.012522, -2.003891, 1.575441
129.767000, 2.012522, -2.003891, 1.575445
129.878000, 2.012522, -2.003891, 1.575448
129.988000, 2.012522, -2.003891, 1.575450
130.087000, 2.012522, -2.003891, 1.575453
130.183000, 2.012522, -2.003891, 1.575456
130.285000, 2.012522, -2.003891, 1.575458
130.382000, 2.012522, -2.003891, 1.575458
130.487000, 2.012522, -2.003891, 1.575462
130.583000, 2.012522, -2.003891, 1.575465
130.676000, 2.012522, -2.003891, 1.575466
130.785000, 2.012522, -2.003891, 1.575468
130.885000, 2.012522, -2.003891, 1.575472
130.985000, 2.012522, -2.003891, 1.575474
131.087000, 2.012522, -2.003891, 1.575475
131.178000, 2.012522, -2.003891, 1.575478
131.265000, 2.012522, -2.003891, 1.575481
131.377000, 2.012522, -2.003891, 1.575482
131.474000, 2.012522, -2.003891, 1.575484
131.584000, 2.012522, -2.003891, 1.575488
131.682000, 2.012522, -2.003891, 1.575490
131.787000, 2.012522, -2.003891, 1.575493
131.886000, 2.012522, -2.003891, 1.575495
131.984000, 2.012522, -2.003891, 1.575498
132.071000, 2.012522, -2.003891, 1.575500
132.188000, 2.012522, -2.003891, 1.575501
132.285000, 2.012522, -2.003891, 1.575504
132.370000, 2.012522, -2.003891, 1.575507
132.472000, 2.012522, -2.003891, 1.575508
132.583000, 2.012522, -2.003891, 1.575510
132.688000, 2.012522, -2.003891, 1.575511
132.784000, 2.012522, -2.003891, 1.575514
132.884000, 2.012522, -2.003891, 1.575515
132.982000, 2.012522, -2.003891, 1.575517
133.085000, 2.012522, -2.003891, 1.575521
133.180000, 2.012522, -2.003891, 1.575524
133.277000, 2.012522, -2.003891, 1.575525
133.374000, 2.012522, -2.003891, 1.575528
133.475000, 2.012522, -2.003891, 1.575530
133.578000, 2.012522, -2.003891, 1.575530
133.684000, 2.012522, -2.003891, 1.575533
133.770000, 2.012522, -2.003891, 1.575535
133.869000, 2.012522, -2.003891, 1.575538
133.988000, 2.012522, -2.003891, 1.575539
134.064000, 2.012522, -2.003891, 1.575543
134.181000, 2.012522, -2.003891, 1.575545
