129.483000, -nan, -nan, -nan
129.584000, 6.037416, 0.001764, -3.140477
129.682000, 6.037416, 0.001764, -3.140475
129.767000, 6.037416, 0.001764, -3.140472
129.877000, 6.037416, 0.001764, -3.140470
129.988000, 6.037416, 0.001764, -3.140469
130.087000, 6.037416, 0.001764, -3.140466
130.180000, 6.037416, 0.001764, -3.140463
130.288000, 6.037416, 0.001764, -3.140462
130.379000, 6.037416, 0.001764, -3.140461
130.487000, 6.037416, 0.001764, -3.140458
130.587000, 6.037416, 0.001764, -3.140455
130.685000, 6.037416, 0.001764, -3.140453
130.787000, 6.037416, 0.001764, -3.140451
130.885000, 6.037416, 0.001764, -3.140448
130.986000, 6.037416, 0.001764, -3.140445
131.086000, 6.037416, 0.001764, -3.140444
131.187000, 6.037416, 0.001764, -3.140442
131.274000, 6.037416, 0.001764, -3.140439
131.379000, 6.037416, 0.001764, -3.140437
131.468000, 6.037416, 0.001764, -3.140435
131.583000, 6.037416, 0.001764, -3.140433
131.686000, 6.037416, 0.001764, -3.140428
131.779000, 6.037416, 0.001764, -3.140426
131.884000, 6.037416, 0.001764, -3.140425
131.978000, 6.037416, 0.001764, -3.140422
132.081000, 6.037416, 0.001764, -3.140419
132.184000, 6.037416, 0.001764, -3.140419
132.287000, 6.037416, 0.001764, -3.140417
132.382000, 6.037416, 0.001764, -3.140414
132.472000, 6.037416, 0.001764, -3.140411
132.582000, 6.037416, 0.001764, -3.140410
132.688000, 6.037416, 0.001764, -3.140406
132.781000, 6.037416, 0.001764, -3.140405
132.880000, 6.037416, 0.001764, -3.140403
132.978000, 6.037416, 0.001764, -3.140401
133.086000, 6.037416, 0.001764, -3.140398
133.186000, 6.037416, 0.001764, -3.140396
133.280000, 6.037416, 0.001764, -3.140393
133.374000, 6.037416, 0.001764, -3.140391
133.481000, 6.037416, 0.001764, -3.140387
133.578000, 6.037416, 0.001764, -3.140386
133.685000, 6.037416, 0.001764, -3.140384
133.761000, 6.037416, 0.001764, -3.140381
133.866000, 6.037416, 0.001764, -3.140379
133.988000, 6.037416, 0.001764, -3.140374
134.077000, 6.037416, 0.001764, -3.140373
134.181000, 6.037416, 0.001764, -3.140369
134.286000, 6.037416, 0.001764, -3.140366
134.379000, 6.037416, 0.001764, -3.140365
134.486000, 6.037416, 0.001764, -3.140362
134.586000, 6.037416, 0.001764, -3.140361
134.685000, 6.037416, 0.001764, -3.140359
134.778000, 6.037416, 0.001764, -3.140356
134.883000, 6.037416, 0.001764, -3.140353
134.976000, 6.037416, 0.001764, -3.140352
135.087000, 6.037416, 0.001764, -3.140349
135.177000, 6.037416, 0.001764, -3.140346
135.287000, 6.037416, 0.001764, -3.140344
135.379000, 6.037416, 0.001764, -3.140343
135.480000, 6.037416, 0.001764, -3.140340
135.586000, 6.037416, 0.001764, -3.140338
135.678000, 6.037416, 0.001764, -3.140337
135.779000, 6.037416, 0.001764, -3.140335
135.884000, 6.037416, 0.001764, -3.140334
135.987000, 6.037416, 0.001764, -3.140329
136.085000, 6.037416, 0.001764, -3.140328
136.178000, 6.037416, 0.001764, -3.140326
136.279000, 6.037416, 0.001764, -3.140322
136.385000, 6.037416, 0.001764, -3.140321
136.487000, 6.037416, 0.001764, -3.140319
136.573000, 6.037416, 0.001764, -3.140316
136.677000, 6.037416, 0.001764, -3.140314
136.782000, 6.037416, 0.001764, -3.140313
136.882000, 6.037416, 0.001764, -3.140310
136.954000, 6.037416, 0.001764, -3.140308
