  Time        X         Y         YAW
123.258000, -nan, -nan, -nan
123.360000, 2.010962, -2.001864, 1.575952
123.455000, 2.010962, -2.001864, 1.575954
123.566000, 2.010962, -2.001864, 1.575957
123.625000, 2.010962, -2.001864, 1.575959
123.741000, 2.010962, -2.001864, 1.575962
123.865000, 2.010962, -2.001864, 1.575966
123.967000, 2.010962, -2.001864, 1.575966
124.065000, 2.010962, -2.001864, 1.575967
124.153000, 2.010962, -2.001864, 1.575968
124.267000, 2.010962, -2.001864, 1.575971
124.366000, 2.010962, -2.001864, 1.575974
124.457000, 2.010962, -2.001864, 1.575975
124.548000, 2.010962, -2.001864, 1.575979
124.663000, 2.010962, -2.001864, 1.575982
124.763000, 2.010962, -2.001864, 1.575983
124.855000, 2.010962, -2.001864, 1.575984
124.967000, 2.010962, -2.001864, 1.575989
125.059000, 2.010962, -2.001864, 1.575992
125.160000, 2.010962, -2.001864, 1.575993
125.267000, 2.010962, -2.001864, 1.575995
125.359000, 2.010962, -2.001864, 1.575998
125.460000, 2.010962, -2.001864, 1.576000
125.560000, 2.010962, -2.001864, 1.576002
125.652000, 2.010962, -2.001864, 1.576005
125.763000, 2.010962, -2.001864, 1.576008
125.845000, 2.010962, -2.001864, 1.576009
125.961000, 2.010962, -2.001864, 1.576011
126.065000, 2.010962, -2.001864, 1.576014
126.163000, 2.010962, -2.001864, 1.576017
126.221000, 2.010962, -2.001864, 1.576018
126.360000, 2.010962, -2.001864, 1.576021
126.461000, 2.010962, -2.001864, 1.576025
126.559000, 2.010962, -2.001864, 1.576027
126.664000, 2.010955, -2.000544, 1.576012
126.761000, 2.010932, -1.996434, 1.576738
126.865000, 2.010878, -1.989054, 1.579778
126.941000, 2.010788, -1.980684, 1.583461
127.062000, 2.010557, -1.966121, 1.589712
127.151000, 2.010227, -1.951140, 1.596227
127.266000, 2.009571, -1.930010, 1.608341
127.352000, 2.008787, -1.911827, 1.618425
127.451000, 2.007827, -1.893252, 1.626957
127.564000, 2.006409, -1.870296, 1.637585
127.661000, 2.005041, -1.850944, 1.644807
127.767000, 2.003420, -1.830007, 1.650893
127.866000, 2.003242, -1.825201, 1.658002
127.960000, 2.001533, -1.806278, 1.663449
128.059000, 1.999675, -1.786767, 1.667618
128.159000, 1.997672, -1.766465, 1.670238
128.261000, 1.995628, -1.746369, 1.676306
128.356000, 1.993538, -1.727484, 1.685822
128.463000, 1.990990, -1.706237, 1.694011
128.565000, 1.988446, -1.686197, 1.699761
128.664000, 1.985849, -1.666568, 1.705314
128.729000, 1.983747, -1.651313, 1.709847
