  Time        X         Y         YAW
123.253000, -nan, -nan, -nan
123.356000, 6.024874, -0.000419, -3.141014
123.452000, 6.024874, -0.000419, -3.141011
123.561000, 6.024874, -0.000419, -3.141006
123.625000, 6.024874, -0.000419, -3.141005
123.741000, 6.024874, -0.000419, -3.141002
123.867000, 6.024874, -0.000419, -3.141000
123.965000, 6.024874, -0.000419, -3.140997
124.062000, 6.024874, -0.000419, -3.140995
124.155000, 6.024874, -0.000419, -3.140994
124.267000, 6.024874, -0.000419, -3.140990
124.366000, 6.024874, -0.000419, -3.140988
124.457000, 6.024874, -0.000419, -3.140987
124.548000, 6.024874, -0.000419, -3.140984
124.663000, 6.024874, -0.000419, -3.140981
124.763000, 6.024874, -0.000419, -3.140979
124.854000, 6.024874, -0.000419, -3.140978
124.967000, 6.024874, -0.000419, -3.140974
125.059000, 6.024874, -0.000419, -3.140970
125.163000, 6.024874, -0.000419, -3.140968
125.260000, 6.024874, -0.000419, -3.140967
125.360000, 6.024874, -0.000419, -3.140965
125.460000, 6.024874, -0.000419, -3.140962
125.556000, 6.024874, -0.000419, -3.140960
125.652000, 6.024874, -0.000419, -3.140959
125.763000, 6.024874, -0.000419, -3.140954
125.845000, 6.024874, -0.000419, -3.140952
125.961000, 6.024874, -0.000419, -3.140949
126.065000, 6.024874, -0.000419, -3.140948
126.152000, 6.024874, -0.000419, -3.140944
126.221000, 6.024874, -0.000419, -3.140943
126.360000, 6.024874, -0.000419, -3.140940
126.461000, 6.024874, -0.000419, -3.140937
126.559000, 6.024874, -0.000419, -3.140934
126.664000, 6.024124, -0.000420, -3.139323
126.762000, 6.020629, -0.000443, -3.130508
126.865000, 6.015890, -0.000532, -3.107228
126.941000, 6.015366, -0.000565, -3.069252
127.065000, 6.011385, -0.000998, -3.004741
127.151000, 6.005514, -0.001987, -2.946643
127.266000, 5.972635, -0.005499, -2.869217
127.349000, 5.962535, -0.008626, -2.814423
127.451000, 5.948236, -0.014019, -2.749006
127.564000, 5.918916, -0.033084, -2.671887
127.660000, 5.902286, -0.042185, -2.609395
127.767000, 5.884238, -0.053675, -2.539793
127.860000, 5.862808, -0.072975, -2.484108
127.965000, 5.846605, -0.086328, -2.421901
128.064000, 5.832062, -0.099762, -2.370357
128.159000, 5.818469, -0.113601, -2.324699
128.245000, 5.805097, -0.128472, -2.281606
128.356000, 5.768109, -0.141918, -2.236569
128.463000, 5.755192, -0.158978, -2.201290
128.567000, 5.743317, -0.175810, -2.169222
128.664000, 5.732622, -0.191995, -2.139687
128.729000, 5.724483, -0.205068, -2.115463
128.857000, 5.712317, -0.225986, -2.079782
128.962000, 5.706303, -0.244568, -2.056418
129.066000, 5.696845, -0.263093, -2.028741
129.164000, 5.688415, -0.280787, -2.002195
129.265000, 5.680117, -0.299422, -1.979826
129.360000, 5.672678, -0.316905, -1.965816
129.449000, 5.665720, -0.333939, -1.951192
129.564000, 5.657565, -0.354801, -1.936000
129.664000, 5.650607, -0.373339, -1.923331
129.767000, 5.643564, -0.392910, -1.909394
129.859000, 5.637038, -0.411815, -1.896422
129.950000, 5.631571, -0.428334, -1.884583
130.064000, 5.624988, -0.449116, -1.869164
130.165000, 5.618371, -0.469380, -1.856073
130.260000, 5.612971, -0.488014, -1.847112
130.364000, 5.607521, -0.507879, -1.832158
130.456000, 5.602611, -0.526441, -1.825623
130.562000, 5.597524, -0.546403, -1.815873
130.660000, 5.593237, -0.563730, -1.810427
130.766000, 5.589565, -0.578990, -1.803169
130.860000, 5.585942, -0.594554, -1.797025
130.955000, 5.582303, -0.610463, -1.793893
131.067000, 5.578175, -0.628876, -1.788391
131.155000, 5.574983, -0.643491, -1.783396
131.262000, 5.571188, -0.661281, -1.778109
131.353000, 5.573952, -0.674593, -1.773852
131.453000, 5.570562, -0.691252, -1.768959
131.548000, 5.567362, -0.707428, -1.763412
131.663000, 5.563766, -0.726126, -1.756934
131.761000, 5.560757, -0.742511, -1.748196
131.864000, 5.557732, -0.759758, -1.740910
131.964000, 5.554903, -0.776521, -1.735472
132.062000, 5.552207, -0.792961, -1.730871
132.158000, 5.549651, -0.809080, -1.725425
132.265000, 5.546879, -0.827058, -1.724235
132.357000, 5.544465, -0.842510, -1.725590
132.464000, 5.541701, -0.860489, -1.720564
132.556000, 5.539406, -0.875960, -1.717599
132.661000, 5.524243, -0.889640, -1.733299
132.760000, 5.522688, -0.898555, -1.755376
132.864000, 5.521902, -0.902640, -1.766928
132.947000, 5.521902, -0.902640, -1.770300
133.066000, 5.521902, -0.902640, -1.811378
133.166000, 5.521902, -0.902640, -1.866942
133.261000, 5.521902, -0.902640, -1.933393
133.360000, 5.536339, -0.898441, -1.994883
133.455000, 5.536339, -0.898441, -2.062592
133.553000, 5.536339, -0.898441, -2.123104
133.670000, 5.552390, -0.898192, -2.199945
133.762000, 5.552390, -0.898192, -2.259400
133.862000, 5.552390, -0.898192, -2.319644
133.962000, 5.552390, -0.898192, -2.373472
134.064000, 5.540105, -0.897369, -2.423664
134.156000, 5.540105, -0.897369, -2.463514
134.264000, 5.540105, -0.897369, -2.506659
134.362000, 5.540105, -0.897369, -2.545677
134.464000, 5.540105, -0.897369, -2.586385
134.558000, 5.540105, -0.897369, -2.621412
134.666000, 5.540105, -0.897369, -2.621368
134.759000, 5.540105, -0.897369, -2.621364
134.859000, 5.540105, -0.897369, -2.621362
134.959000, 5.540105, -0.897369, -2.621361
135.066000, 5.540105, -0.897369, -2.621359
135.166000, 5.540105, -0.897369, -2.621357
135.249000, 5.540105, -0.897369, -2.621355
135.354000, 5.540105, -0.897369, -2.621351
135.466000, 5.540105, -0.897369, -2.621348
135.567000, 5.540105, -0.897369, -2.621346
135.664000, 5.540105, -0.897369, -2.621344
135.758000, 5.540105, -0.897369, -2.621341
135.864000, 5.540105, -0.897369, -2.621339
135.962000, 5.540105, -0.897369, -2.621337
136.057000, 5.540105, -0.897369, -2.621335
136.144000, 5.540105, -0.897369, -2.621332
136.265000, 5.540105, -0.897369, -2.621328
136.358000, 5.540105, -0.897369, -2.621326
136.460000, 5.540105, -0.897369, -2.621324
136.555000, 5.540105, -0.897369, -2.621322
136.661000, 5.540105, -0.897369, -2.621318
136.758000, 5.540105, -0.897369, -2.621314
136.866000, 5.540105, -0.897369, -2.621309
136.967000, 5.540105, -0.897369, -2.621307
137.064000, 5.540105, -0.897369, -2.621306
137.151000, 5.540105, -0.897369, -2.621304
137.265000, 5.540105, -0.897369, -2.621301
137.364000, 5.540105, -0.897369, -2.621298
137.467000, 5.540105, -0.897369, -2.621295
137.560000, 5.540105, -0.897369, -2.621291
